Points:0,Points:1,Points:2,vtkOriginalIndices
2.39594,-1.38297,0,291
2.35498,-1.20436,0,292
2.31905,-1.04768,0,293
2.28753,-0.910249,0,294
2.25988,-0.789692,0,295
2.23563,-0.683941,0,296
2.21436,-0.591176,0,297
2.1957,-0.509804,0,298
2.17933,-0.438424,0,299
2.16497,-0.375811,0,300
2.15237,-0.320887,0,301
2.14132,-0.272707,0,302
2.13163,-0.230445,0,303
2.12313,-0.193373,0,304
2.11567,-0.160853,0,305
2.10913,-0.132328,0,306
2.10339,-0.107305,0,307
2.09836,-0.0853552,0,308
2.09394,-0.066101,0,309
2.09007,-0.0492114,0,310
2.08667,-0.034396,0,311
2.08369,-0.0214,0,312
2.08108,-0.01,0,313
2.07878,4.11764e-09,0,314
2.76985,-3.5,0,315
2.72422,-3.30754,0,316
2.67858,-3.11509,0,317
2.63295,-2.92263,0,318
2.58732,-2.73017,0,319
2.54169,-2.53771,0,320
2.49605,-2.34526,0,321
2.45042,-2.1528,0,322
2.40479,-1.96034,0,323
2.35916,-1.76788,0,324
2.31353,-1.57543,0,325
2.26789,-1.38297,0,326
2.22554,-1.20436,0,327
2.1884,-1.04768,0,328
2.15581,-0.910249,0,329
2.12723,-0.789692,0,330
2.10215,-0.683941,0,331
2.08016,-0.591176,0,332
2.06086,-0.509804,0,333
2.04394,-0.438424,0,334
2.02909,-0.375811,0,335
2.01607,-0.320887,0,336
2.00465,-0.272707,0,337
1.99463,-0.230445,0,338
1.98584,-0.193373,0,339
1.97813,-0.160853,0,340
1.97136,-0.132328,0,341
1.96543,-0.107305,0,342
1.96022,-0.0853552,0,343
1.95566,-0.066101,0,344
1.95166,-0.0492114,0,345
1.94814,-0.034396,0,346
1.94506,-0.0214,0,347
1.94236,-0.01,0,348
1.93999,4.41511e-09,0,349
2.6637,-3.5,0,350
2.6171,-3.30754,0,351
2.57049,-3.11509,0,352
2.52389,-2.92263,0,353
2.47729,-2.73017,0,354
2.43068,-2.53771,0,355
2.38408,-2.34526,0,356
2.33748,-2.1528,0,357
2.29087,-1.96034,0,358
2.24427,-1.76788,0,359
2.19767,-1.57543,0,360
2.15106,-1.38297,0,361
2.10781,-1.20436,0,362
2.06988,-1.04768,0,363
2.0366,-0.910249,0,364
2.0074,-0.789692,0,365
1.9818,-0.683941,0,366
1.95933,-0.591176,0,367
1.93963,-0.509804,0,368
1.92234,-0.438424,0,369
1.90718,-0.375811,0,370
1.89388,-0.320887,0,371
1.88222,-0.272707,0,372
1.87198,-0.230445,0,373
