x,y,value
8,19,0.60633
8,20,0.60633
8,21,0.60633
8,22,0.60633
8,23,0.60633
8,24,0.60633
8,25,0.60633
8,26,0.60633
8,27,0.60633
8,28,0.60633
8,29,0.60633
8,30,0.60633
8,31,0.60633
8,32,0.60633
8,33,0.60633
8,34,0.60633
8,35,0.60633
9,0,0.60633
9,1,0.60633
9,2,0.60633
9,3,0.60633
9,4,0.60633
9,5,0.60633
9,6,0.60633
9,7,0.60633
9,8,0.60633
9,9,0.60633
9,10,0.60633
9,11,0.60633
9,12,0.60633
9,13,0.60633
9,14,0.60633
9,15,0.60633
9,16,0.60633
9,17,0.60633
9,18,0.60633
9,19,0.60633
9,20,0.60633
9,21,0.60633
9,22,0.60633
9,23,0.60633
9,24,0.60633
9,25,0.60633
9,26,0.60633
9,27,0.60633
9,28,0.60633
9,29,0.60633
9,30,0.60633
9,31,0.60633
9,32,0.60633
9,33,0.60633
9,34,0.60633
9,35,0.60633
10,0,0.60633
10,1,0.60633
10,2,0.60633
10,3,0.60633
10,4,0.60633
10,5,0.60633
10,6,0.60633
10,7,0.60633
10,8,0.60633
10,9,0.60633
10,10,0.60633
10,11,0.60633
10,12,0.60633
10,13,0.60633
10,14,0.60633
10,15,0.60633
10,16,0.60633
10,17,0.60633
10,18,0.60633
10,19,0.60633
10,20,0.60633
10,21,0.60633
10,22,0.60633
10,23,0.60633
10,24,0.60633
10,25,0.60633
10,26,0.60633
10,27,0.60633
10,28,0.60633
10,29,0.60633
10,30,0.60633
10,31,0.60633
10,32,0.60633
10,33,0.60633
10,34,0.60633
10,35,0.60633
11,0,0.60633
11,1,0.60633
11,2,0.60633
11,3,0.60633
11,4,0.60633
11,5,0.60633
11,6,0.60633
11,7,0.60633
11,8,0.60633
11,9,0.60633
11,10,0.60633
11,11,0.60633
11,12,0.60633
11,13,0.60633
11,14,0.60633
11,15,0.60633
11,16,0.60633
11,17,0.60633
11,18,0.60633
11,19,0.60633
11,20,0.60633
11,21,0.60633
11,22,0.60633
11,23,0.60633
11,24,0.60633
11,25,0.60633
11,26,0.60633
11,27,0.60633
11,28,0.60633
11,29,0.60633
11,30,0.60633
11,31,0.60633
11,32,0.60633
11,33,0.60633
11,34,0.60633
11,35,0.60633
12,0,0.60633
12,1,0.60633
12,2,0.60633
12,3,0.60633
12,4,0.60633
12,5,0.60633
12,6,0.60633
12,7,0.60633
12,8,0.60633
12,9,0.60633
12,10,0.60633
12,11,0.60633
12,12,0.60633
12,13,0.60633
12,14,0.60633
12,15,0.60633
12,16,0.60633
12,17,0.60633
12,18,0.60633
12,19,0.60633
12,20,0.60633
12,21,0.60633
12,22,0.60633
12,23,0.60633
12,24,0.60633
12,25,0.60633
12,26,0.60633
12,27,0.60633
12,28,0.60633
12,29,0.60633
12,30,0.60633
12,31,0.60633
12,32,0.60633
12,33,0.60633
12,34,0.60633
12,35,0.60633
13,0,0.60633
13,1,0.60633
13,2,0.60633
13,3,0.60633
13,4,0.60633
13,5,0.60633
13,6,0.60633
13,7,0.60633
13,8,0.60633
13,9,0.60633
13,10,0.60633
13,11,0.60633
13,12,0.60633
13,13,0.60633
13,14,0.60633
13,15,0.60633
13,16,0.60633
13,17,0.60633
13,18,0.60633
13,19,0.60633
13,20,0.60633
13,21,0.60633
13,22,0.60633
13,23,0.60633
13,24,0.60633
13,25,0.60633
13,26,0.60633
13,27,0.60633
13,28,0.60633
13,29,0.60633
13,30,0.60633
13,31,0.60633
13,32,0.60633
13,33,0.60633
13,34,0.60633
13,35,0.60633
14,0,0.60633
14,1,0.60633
14,2,0.60633
14,3,0.60633
14,4,0.60633
14,5,0.60633
14,6,0.60633
14,7,0.60633
14,8,0.60633
14,9,0.60633
14,10,0.60633
14,11,0.60633
14,12,0.60633
14,13,0.60633
14,14,0.60633
14,15,0.60633
14,16,0.60633
14,17,0.60633
14,18,0.60633
14,19,0.60633
14,20,0.60633
14,21,0.60633
14,22,0.60633
14,23,0.60633
14,24,0.60633
14,25,0.60633
14,26,0.60633
14,27,0.60633
14,28,0.60633
14,29,0.60633
14,30,0.60633
14,31,0.60633
14,32,0.60633
14,33,0.60633
14,34,0.60633
14,35,0.60633
15,0,0.60633
15,1,0.60633
15,2,0.60633
15,3,0.60633
15,4,0.60633
15,5,0.60633
15,6,0.60633
15,7,0.60633
15,8,0.60633
15,9,0.60633
15,10,0.60633
15,11,0.60633
15,12,0.60633
15,13,0.60633
15,14,0.60633
15,15,0.60633
15,16,0.60633
15,17,0.60633
15,18,0.60633
15,19,0.60633
15,20,0.60633
15,21,0.60633
15,22,0.60633
